Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:0%, JEPQ:0%, SCHD:0%, SCHY:100%",18.1,0.8,12.6,10.6
"MSTY:0%, JEPQ:0%, SCHD:5%, SCHY:95%",17.5,0.2,12.2,10.2
"MSTY:0%, JEPQ:0%, SCHD:10%, SCHY:90%",16.9,-0.5,11.8,9.7
"MSTY:0%, JEPQ:0%, SCHD:15%, SCHY:85%",16.2,-1.1,11.5,9.3
"MSTY:0%, JEPQ:0%, SCHD:20%, SCHY:80%",15.6,-1.7,11.2,8.9
"MSTY:0%, JEPQ:0%, SCHD:25%, SCHY:75%",15.0,-2.4,10.9,8.5
"MSTY:0%, JEPQ:0%, SCHD:30%, SCHY:70%",14.3,-3.0,10.7,8.1
"MSTY:0%, JEPQ:0%, SCHD:35%, SCHY:65%",13.7,-3.6,10.6,7.7
"MSTY:0%, JEPQ:0%, SCHD:40%, SCHY:60%",13.1,-4.3,10.5,7.2
"MSTY:0%, JEPQ:0%, SCHD:45%, SCHY:55%",12.4,-4.9,10.5,6.8
"MSTY:0%, JEPQ:0%, SCHD:50%, SCHY:50%",11.8,-5.5,10.5,6.4
"MSTY:0%, JEPQ:0%, SCHD:55%, SCHY:45%",11.2,-6.2,10.6,6.0
"MSTY:0%, JEPQ:0%, SCHD:60%, SCHY:40%",10.5,-6.8,10.7,5.6
"MSTY:0%, JEPQ:0%, SCHD:65%, SCHY:35%",9.9,-7.4,10.9,5.8
"MSTY:0%, JEPQ:0%, SCHD:70%, SCHY:30%",9.3,-8.1,11.2,5.9
"MSTY:0%, JEPQ:0%, SCHD:75%, SCHY:25%",8.6,-8.7,11.5,6.1
"MSTY:0%, JEPQ:0%, SCHD:80%, SCHY:20%",8.0,-9.3,11.8,7.1
"MSTY:0%, JEPQ:0%, SCHD:85%, SCHY:15%",7.4,-10.0,12.2,8.1
"MSTY:0%, JEPQ:0%, SCHD:90%, SCHY:10%",6.7,-10.6,12.6,9.0
